cutoff,assembly_score
0.01208,0.05123
0.01209,0.05123
0.0121,0.05124
0.0121,0.05124
0.01211,0.05124
0.01212,0.05124
0.01212,0.05125
0.01212,0.05125
0.01212,0.05125
0.01214,0.05126
0.01214,0.05126
0.01214,0.05126
0.01217,0.05127
0.01217,0.05127
0.01217,0.05127
0.01217,0.05128
0.01218,0.05128
0.01218,0.05128
0.01218,0.05129
0.01219,0.05129
0.0122,0.05129
0.0122,0.05129
0.0122,0.0513
0.0122,0.0513
0.01221,0.0513
0.01221,0.05131
0.01221,0.05131
0.01222,0.05131
0.01222,0.05132
0.01222,0.05132
0.01223,0.05132
0.01223,0.05133
0.01223,0.05133
0.01225,0.05133
0.01225,0.05134
0.01227,0.05134
0.01228,0.05134
0.01231,0.05135
0.01231,0.05135
0.01232,0.05135
0.01232,0.05135
0.01233,0.05136
0.01233,0.05136
0.01235,0.05136
0.01235,0.05137
0.01235,0.05137
0.01236,0.05137
0.01237,0.05138
0.01237,0.05138
0.01239,0.05138
0.01239,0.05139
0.01239,0.05139
0.0124,0.05139
0.0124,0.0514
0.0124,0.0514
0.0124,0.0514
0.0124,0.05141
0.01241,0.05141
0.01242,0.05141
0.01243,0.05141
0.01245,0.05142
0.01246,0.05142
0.01248,0.05142
0.01248,0.05143
0.01249,0.05143
0.01249,0.05143
0.0125,0.05144
0.0125,0.05144
0.01251,0.05144
0.01252,0.05145
0.01252,0.05145
0.01253,0.05145
0.01253,0.05145
0.01255,0.05146
0.01255,0.05146
0.01256,0.05146
0.01256,0.05147
0.01256,0.05147
0.01256,0.05147
0.01258,0.05148
0.0126,0.05148
0.0126,0.05148
0.01261,0.05149
0.01261,0.05149
0.01262,0.05149
0.01262,0.0515
0.01262,0.0515
0.01262,0.0515
0.01264,0.0515
0.01264,0.05151
0.01265,0.05151
0.01266,0.05151
0.01267,0.05152
0.01267,0.05152
0.01269,0.05152
0.0127,0.05153
0.0127,0.05153
0.01271,0.05153
0.01271,0.05154
0.01271,0.05154
0.01272,0.05154
0.01272,0.05155
0.01272,0.05155
0.01272,0.05155
0.01275,0.05156
0.01275,0.05156
0.01276,0.05156
0.01277,0.05156
0.01277,0.05157
0.01277,0.05157
0.01278,0.05157
0.01278,0.05158
0.01278,0.05158
0.01279,0.05158
0.01279,0.05159
0.0128,0.05159
0.01281,0.05159
0.01281,0.0516
0.01282,0.0516
0.01282,0.0516
0.01282,0.05161
0.01283,0.05161
0.01284,0.05161
0.01285,0.05162
0.01286,0.05162
0.01286,0.05162
0.01287,0.05162
0.01291,0.05163
0.01294,0.05163
0.01294,0.05163
0.01295,0.05164
0.01295,0.05164
0.01295,0.05164
0.01295,0.05165
0.01296,0.05165
0.01296,0.05165
0.01297,0.05166
0.01297,0.05166
0.01299,0.05166
0.01299,0.05167
0.01299,0.05167
0.01301,0.05167
0.01302,0.05167
0.01302,0.05168
0.01303,0.05168
0.01304,0.05168
0.01305,0.05169
0.01305,0.05169
0.01306,0.05169
0.01306,0.0517
0.01306,0.0517
0.01307,0.0517
0.01307,0.05168
0.01307,0.05169
0.01308,0.05169
0.01308,0.05169
0.01308,0.0517
0.01308,0.0517
0.01308,0.0517
0.01308,0.0517
0.01309,0.05171
0.0131,0.05171
0.01311,0.05171
0.01313,0.05172
0.01313,0.05172
0.01314,0.05172
0.01314,0.05173
0.01315,0.05173
0.01315,0.05173
0.01315,0.05174
0.01316,0.05174
0.01316,0.05174
0.01318,0.05175
0.01318,0.05175
0.01318,0.05175
0.01319,0.05176
0.01322,0.05176
0.01323,0.05176
0.01323,0.05176
0.01324,0.05177
0.01324,0.05177
0.01325,0.05177
0.01325,0.05178
0.01326,0.05178
0.01326,0.05178
0.01327,0.05179
0.01327,0.05179
0.01328,0.05179
0.01328,0.0518
0.01328,0.0518
0.01329,0.0518
0.0133,0.05181
0.01331,0.05181
0.01332,0.05181
0.01332,0.05181
0.01333,0.05182
0.01334,0.05182
0.01334,0.05182
0.01334,0.05183
0.01334,0.05183
0.01335,0.05183
0.01335,0.05184
0.01335,0.05184
0.01335,0.05184
0.01335,0.05185
0.01336,0.05185
0.01338,0.05185
0.01339,0.05186
0.01339,0.05186
0.01339,0.05186
0.01339,0.05186
0.0134,0.05187
0.0134,0.05187
0.01341,0.05187
0.01342,0.05188
0.01342,0.05188
0.01344,0.05188
0.01344,0.05189
0.01344,0.05189
0.01344,0.05189
0.01344,0.0519
0.01345,0.0519
0.0135,0.0519
0.0135,0.05191
0.0135,0.05191
0.01351,0.05191
0.01352,0.05192
0.01352,0.05192
0.01353,0.05192
0.01353,0.05192
0.01354,0.05193
0.01356,0.05193
0.01356,0.05193
0.01357,0.05194
0.01358,0.05194
0.01358,0.05194
0.01358,0.05195
0.01358,0.05195
0.01358,0.05195
0.01359,0.05196
0.01359,0.05196
0.01359,0.05196
0.0136,0.05196
0.0136,0.05197
0.01361,0.05197
0.01361,0.05197
0.01362,0.05198
0.01362,0.05198
0.01363,0.05198
0.01363,0.05199
0.01364,0.05199
0.01364,0.05199
0.01364,0.052
0.01364,0.052
0.01365,0.052
0.01366,0.05201
0.01367,0.05201
0.01368,0.05201
0.01369,0.05202
0.01369,0.05202
0.0137,0.05202
0.01372,0.05202
0.01373,0.05202
0.01373,0.05203
0.01374,0.05203
0.01375,0.05203
0.01376,0.05204
0.01376,0.05204
0.01377,0.05204
0.0138,0.05204
