cutoff,assembly_score
0.01,0.05092
0.01001,0.05093
0.01001,0.05093
0.01002,0.05093
0.01004,0.05094
0.01006,0.05094
0.01009,0.05095
0.01009,0.05095
0.01009,0.05095
0.01012,0.05096
0.01012,0.05096
0.01012,0.05096
0.01012,0.05097
0.01014,0.05097
0.01015,0.05098
0.01015,0.05098
0.01015,0.05098
0.01017,0.05099
0.01019,0.05099
0.01021,0.051
0.01021,0.051
0.01023,0.051
0.01023,0.05101
0.01024,0.05101
0.01024,0.05102
0.01025,0.05102
0.01025,0.05102
0.01025,0.05103
0.01026,0.05103
0.01028,0.05104
0.01029,0.05104
0.0103,0.05104
0.01032,0.05105
0.01032,0.05105
0.01033,0.05106
0.01033,0.05106
0.01034,0.05106
0.01034,0.05107
0.01037,0.05107
0.01037,0.05108
0.01039,0.05108
0.01039,0.05108
0.0104,0.05109
0.0104,0.05109
0.01043,0.05109
0.01046,0.0511
0.01049,0.0511
0.0105,0.05111
0.01053,0.05111
0.01056,0.05111
0.01056,0.05112
0.01057,0.05112
0.0106,0.05113
0.0106,0.05113
0.01061,0.05113
0.01061,0.05114
0.01063,0.05114
0.01063,0.05114
0.01065,0.05115
0.01065,0.05115
0.01065,0.05116
0.01066,0.05116
0.01067,0.05116
0.01069,0.05117
0.0107,0.05117
0.0107,0.05118
0.01071,0.05118
0.01072,0.05118
0.01072,0.05119
0.01074,0.05119
0.01074,0.0512
0.01074,0.0512
0.01075,0.0512
0.01076,0.05121
0.01076,0.05121
0.01078,0.05122
0.01079,0.05122
0.01079,0.05122
0.01079,0.05123
0.0108,0.05123
0.01081,0.05124
0.01081,0.05124
0.01083,0.05124
0.01084,0.05125
0.01084,0.05125
0.01086,0.05125
0.01087,0.05126
0.01087,0.05126
0.01088,0.05127
0.01088,0.05127
0.0109,0.05127
0.01091,0.05128
0.01092,0.05128
0.01092,0.05129
0.01094,0.05129
0.01095,0.05129
0.01097,0.0513
0.01097,0.0513
0.01097,0.0513
0.01099,0.05131
0.011,0.05131
0.01101,0.05132
0.01102,0.05132
0.01103,0.05132
0.01104,0.05133
0.01106,0.05133
0.01107,0.05134
0.01109,0.05134
0.0111,0.05134
0.01111,0.05135
0.01111,0.05135
0.01113,0.05136
0.01113,0.05136
0.01113,0.05136
0.01115,0.05137
0.01115,0.05137
0.01116,0.05137
0.01116,0.05138
0.01116,0.05138
0.01118,0.05139
0.01119,0.05139
0.0112,0.05139
0.0112,0.0514
0.01121,0.0514
0.01122,0.0514
0.01127,0.0514
0.0113,0.05141
0.01132,0.05141
0.01133,0.05142
0.01134,0.05142
0.01135,0.05142
0.01137,0.05143
0.01137,0.05143
0.01137,0.05144
0.01138,0.05144
0.01139,0.05144
0.0114,0.05145
0.01141,0.05145
0.01143,0.05146
0.01145,0.05146
0.01147,0.05146
0.01147,0.05147
0.01148,0.05147
0.01148,0.05148
0.01152,0.05148
0.01152,0.05148
0.01153,0.05149
0.01156,0.05149
0.01157,0.0515
0.01157,0.0515
0.01158,0.0515
0.01158,0.05151
0.01159,0.05151
0.01161,0.05151
0.01162,0.05152
0.01163,0.05152
0.01165,0.05153
0.01168,0.05153
0.0117,0.05153
0.01172,0.05154
0.01172,0.05154
0.01173,0.05155
0.01174,0.05155
0.01175,0.05155
0.01175,0.05156
0.01176,0.05156
0.01177,0.05157
0.01179,0.05157
0.01181,0.05157
0.01183,0.05158
0.01183,0.05158
0.01186,0.05158
0.01187,0.05159
0.01187,0.05159
0.01189,0.0516
0.01189,0.0516
0.0119,0.0516
0.01192,0.05161
0.01195,0.05161
0.01198,0.05162
0.01202,0.05162
0.01202,0.05162
0.01203,0.05163
0.01203,0.05163
0.01204,0.05164
0.01205,0.05164
0.01209,0.05164
0.01209,0.05165
0.01209,0.05165
0.01213,0.05165
0.01216,0.05166
0.01216,0.05166
0.01217,0.05167
0.01218,0.05167
0.01219,0.05167
0.0122,0.05168
0.0122,0.05168
0.01224,0.05168
0.01225,0.05169
0.01225,0.05169
0.01227,0.0517
0.01229,0.0517
0.0123,0.0517
0.0123,0.05171
0.01232,0.05171
0.01233,0.05171
0.01233,0.05172
0.01234,0.05172
0.01234,0.05173
0.01236,0.05173
0.01237,0.05173
0.0124,0.05174
0.01241,0.05174
0.01242,0.05175
0.01243,0.05175
0.01243,0.05175
0.01243,0.05176
0.01246,0.05176
0.01247,0.05176
0.01249,0.05177
0.01249,0.05177
0.0125,0.05178
0.0125,0.05178
0.01251,0.05178
0.01254,0.05179
0.01255,0.05179
0.01256,0.0518
0.01257,0.0518
0.01259,0.0518
0.01259,0.05181
0.01259,0.05181
0.0126,0.05181
0.0126,0.05182
0.01263,0.05182
0.01264,0.05182
0.01264,0.05183
0.01264,0.05183
0.01264,0.05184
0.01267,0.05184
0.01268,0.05184
0.01268,0.05185
0.01268,0.05185
0.01269,0.05185
0.01269,0.05186
0.0127,0.05186
0.01273,0.05187
0.01274,0.05187
0.01275,0.05187
0.01275,0.05188
0.01276,0.05188
0.01276,0.05189
0.01277,0.05189
0.0128,0.05189
0.0128,0.0519
0.0128,0.05188
0.01281,0.05188
0.01282,0.05188
0.01282,0.05189
0.01282,0.05189
0.01282,0.0519
0.01284,0.0519
0.01284,0.0519
0.01285,0.05191
0.01286,0.05191
0.01286,0.05191
0.01289,0.05192
0.0129,0.05192
0.01291,0.05193
0.01293,0.05193
0.01298,0.05193
0.01302,0.05194
0.01303,0.05194
0.01306,0.05195
0.01307,0.05195
0.01308,0.05195
0.0131,0.05196
0.0131,0.05196
0.01311,0.05196
0.01313,0.05197
0.01313,0.05197
0.01314,0.05197
0.01316,0.05198
0.01316,0.05198
0.01318,0.05199
0.01318,0.05199
0.01318,0.05199
0.01319,0.052
0.01319,0.052
0.01321,0.05131
0.01322,0.05132
0.01322,0.05132
0.01322,0.05133
